Node,Run,In Centrality,Total Spaces,Remaining Spaces,Full Count,Empty Count
0,20,0.5555555555555556,50,50,0,308
1,20,0.5555555555555556,50,50,0,2
2,20,0.7777777777777777,70,70,0,430
3,20,0.6666666666666666,60,58,2,196
4,20,0.6666666666666666,60,60,0,144
5,20,0.2222222222222222,20,17,0,2
6,20,0.2222222222222222,20,1,62,0
7,20,0.2222222222222222,20,0,41,0
8,20,0.4444444444444444,40,40,0,206
9,20,0.3333333333333333,30,1,36,0
